Archivo,Tiempo_Codificacion,Tiempo_Decodificacion,Peso_Original,Peso_Codificado
dna1MB.txt,0.140747,0.222278,1048.58,292.795
dna1MB.txt,0.137416,0.226591,1048.58,292.795
dna1MB.txt,0.137556,0.223201,1048.58,292.795
dna1MB.txt,0.137284,0.220167,1048.58,292.795
dna1MB.txt,0.137507,0.220033,1048.58,292.795
dna1MB.txt,0.137902,0.221945,1048.58,292.795
dna1MB.txt,0.137818,0.221417,1048.58,292.795
dna1MB.txt,0.137666,0.219772,1048.58,292.795
dna1MB.txt,0.136818,0.221216,1048.58,292.795
dna1MB.txt,0.138158,0.223021,1048.58,292.795
dna1MB.txt,0.138015,0.22189,1048.58,292.795
dna1MB.txt,0.137185,0.221404,1048.58,292.795
dna1MB.txt,0.137734,0.220071,1048.58,292.795
dna1MB.txt,0.137656,0.22432,1048.58,292.795
dna1MB.txt,0.139671,0.245819,1048.58,292.795
dna1MB.txt,0.154855,0.245105,1048.58,292.795
dna1MB.txt,0.159653,0.220826,1048.58,292.795
dna1MB.txt,0.137504,0.223486,1048.58,292.795
dna1MB.txt,0.140474,0.226505,1048.58,292.795
dna1MB.txt,0.139248,0.221556,1048.58,292.795
dna5MB.txt,0.708474,1.19173,5242.88,1459.28
dna5MB.txt,0.694055,1.10919,5242.88,1459.28
dna5MB.txt,0.694425,1.08817,5242.88,1459.28
dna5MB.txt,0.692961,1.10266,5242.88,1459.28
dna5MB.txt,0.703457,1.14002,5242.88,1459.28
dna5MB.txt,0.762582,1.17931,5242.88,1459.28
dna5MB.txt,0.713991,1.11892,5242.88,1459.28
dna5MB.txt,0.713687,1.1374,5242.88,1459.28
dna5MB.txt,0.747911,1.15017,5242.88,1459.28
dna5MB.txt,0.710721,1.13278,5242.88,1459.28
dna5MB.txt,0.709372,1.12316,5242.88,1459.28
dna5MB.txt,0.707519,1.13068,5242.88,1459.28
dna5MB.txt,0.702393,1.12342,5242.88,1459.28
dna5MB.txt,0.694116,1.10489,5242.88,1459.28
dna5MB.txt,0.699627,1.1206,5242.88,1459.28
dna5MB.txt,0.696588,1.11093,5242.88,1459.28
dna5MB.txt,0.714637,1.1491,5242.88,1459.28
dna5MB.txt,0.705641,1.11622,5242.88,1459.28
dna5MB.txt,0.696114,1.10756,5242.88,1459.28
dna5MB.txt,0.694797,1.10418,5242.88,1459.28
dna10MB.txt,1.38885,2.19878,10485.8,2903.07
dna10MB.txt,1.38918,2.20847,10485.8,2903.07
